player_id,game_id,points,rebounds,assists,2pm,2pa,3pm,3pa,FTM,FTA,FGM depth,FGA depth,FGM,FGA,offensive rebounds,defensive rebounds,fouls,fouls drawn,turnovers,steals,blocks
mobleev01,15408,4,1,0,2,2,0,0,0,0,1.0,1.0,2,2,0,1,1,0,0,0,1
banchpa01,15408,5,0,0,0,1,1,2,2,2,26.0,22.333333333333332,1,3,0,0,0,1,0,0,0
strusma01,15408,3,2,1,0,0,1,1,0,0,26.0,26.0,1,1,0,2,0,0,0,0,0
mitchdo01,15408,3,0,1,0,1,0,0,3,4,0.0,16.0,0,1,0,0,0,2,0,0,0
wagnefr01,15408,2,0,0,1,2,0,1,0,0,1.0,11.0,1,3,0,0,1,0,0,0,0
Team,15408,0,2,0,0,0,0,0,0,0,0.0,0.0,0,0,2,0,0,0,0,0,0
suggsja01,15408,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0
garlada01,15408,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
okorois01,15408,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
thomptr01,15408,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
isaacjo01,15408,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0
inglejo01,15408,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
oubreke01,15407,6,0,0,3,4,0,0,0,0,1.0,1.0,3,4,0,0,0,0,0,0,0
maxeyty01,15407,13,1,2,1,2,3,3,2,3,24.5,20.0,4,5,0,1,1,3,1,0,0
harrito02,15407,2,1,1,0,0,0,0,2,2,0.0,0.0,0,0,0,1,1,1,0,0,0
anunoog01,15407,2,1,0,1,1,0,0,0,1,2.0,2.0,1,1,0,1,1,2,0,1,0
Team,15407,0,7,0,0,0,0,0,0,0,0.0,0.0,0,0,6,1,0,0,0,0,0
brunsja01,15407,7,0,0,2,7,1,2,0,0,10.5,10.181818181818182,4,11,0,0,2,2,2,0,0
robinmi01,15407,0,1,0,0,1,0,0,0,0,0.0,1.0,0,1,1,0,1,0,0,1,0
embiijo01,15407,4,2,1,1,1,0,0,2,3,14.0,14.0,1,1,1,1,1,2,1,1,1
batumni01,15407,0,1,1,0,0,0,0,0,0,0.0,0.0,0,0,1,0,2,0,1,0,1
hartjo01,15407,1,0,0,0,0,0,0,1,2,0.0,0.0,0,0,0,0,1,1,0,0,0
harteis01,15407,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
mcbrimi01,15407,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0
divindo01,15407,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
lowryky01,15407,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
reaveau01,15406,2,0,1,1,2,0,0,0,0,11.0,8.0,1,2,0,0,0,0,0,0,0
murraja01,15406,7,0,0,2,3,1,1,0,0,14.0,14.5,3,4,0,0,0,0,0,0,0
Team,15406,0,2,0,0,0,0,0,0,0,0.0,0.0,0,0,1,1,0,0,0,0,0
russeda01,15406,2,0,0,1,1,0,0,0,0,2.0,2.0,1,1,0,0,0,0,0,0,0
jamesle01,15406,4,1,1,1,1,0,0,2,2,2.0,2.0,1,1,0,1,0,1,0,0,0
jokicni01,15406,2,2,0,1,3,0,0,0,0,1.0,2.6666666666666665,1,3,1,1,0,0,0,0,0
davisan02,15406,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1
caldwke01,15406,0,0,0,0,1,0,0,0,0,0.0,13.0,0,1,0,0,0,0,0,0,0
gordoaa01,15406,0,1,1,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0
portemi01,15406,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0
princta02,15406,0,0,0,0,0,0,1,0,0,0.0,41.0,0,1,0,0,0,0,0,0,0
ingrabr01,15405,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,1
willija06,15405,2,0,0,0,0,0,0,2,2,0,0.0,0,0,0,0,0,1,0,1,0
murphtr02,15405,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
valanjo01,15405,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
nancela02,15405,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
joneshe01,15405,0,0,0,0,1,0,0,0,0,0,3.0,0,1,0,0,0,0,0,0,0
giddejo01,15405,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,1
Team,15405,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
holmgch01,15405,0,0,0,0,1,0,0,0,0,0,6.0,0,1,0,0,0,0,0,0,0
dortlu01,15405,0,1,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0
goberru01,15403,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0
bookede01,15403,6,0,0,1,1,0,0,4,4,8.0,8.0,1,1,0,0,1,1,0,1,0
bealbr01,15403,2,0,0,1,1,0,1,0,0,2.0,15.0,1,2,0,0,1,0,0,0,0
duranke01,15403,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0
mcdanja02,15403,3,0,0,0,0,1,1,0,0,23.0,23.0,1,1,0,0,1,0,0,0,0
townska01,15403,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0
alexani01,15403,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
edwaran01,15403,1,0,0,0,0,0,0,1,1,0.0,0.0,0,0,0,0,0,1,0,0,0
okogijo01,15403,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
conlemi01,15403,1,1,0,0,0,0,0,1,1,0.0,0.0,0,0,0,1,0,2,0,0,0
anderky01,15403,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
littlna01,15403,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
nurkiju01,15403,1,1,0,0,0,0,0,1,2,0.0,0.0,0,0,1,0,1,0,0,0,0
onealro01,15403,0,0,0,0,0,0,1,0,0,0.0,27.0,0,1,0,0,0,0,0,0,0
irvinky01,15401,5,1,0,0,1,1,4,2,2,27.0,22.4,1,5,1,0,0,0,0,0,0
georgpa01,15401,4,0,0,0,0,1,1,1,3,23.0,23.0,1,1,0,0,0,2,0,0,1
zubaciv01,15401,0,2,0,0,0,0,0,0,0,0.0,0.0,0,0,0,2,0,0,0,0,0
