Year,Round,Game Number,Home Team,Away Team,Home Score,Away Score,url,attendance,arena,time,game_id
2012,1.0,1.0,Chicago Bulls,Philadelphia 76ers,103,91,https://www.basketball-reference.com/boxscores/201204280CHI.html,"21,943",United Center,1:00p,15410
2012,1.0,1.0,Miami Heat,New York Knicks,100,67,https://www.basketball-reference.com/boxscores/201204280MIA.html,"19,621",AmericanAirlines Arena,3:30p,15411
2012,1.0,1.0,Indiana Pacers,Orlando Magic,77,81,https://www.basketball-reference.com/boxscores/201204280IND.html,"18,165",Bankers Life Fieldhouse,7:00p,15412
2012,1.0,1.0,Oklahoma City Thunder,Dallas Mavericks,99,98,https://www.basketball-reference.com/boxscores/201204280OKC.html,"18,203",Chesapeake Energy Arena,9:30p,15413
2012,1.0,1.0,San Antonio Spurs,Utah Jazz,106,91,https://www.basketball-reference.com/boxscores/201204290SAS.html,"18,581",AT&T Center,1:00p,15414
2012,1.0,1.0,Los Angeles Lakers,Denver Nuggets,103,88,https://www.basketball-reference.com/boxscores/201204290LAL.html,"18,997",STAPLES Center,3:30p,15415
2012,1.0,1.0,Atlanta Hawks,Boston Celtics,83,74,https://www.basketball-reference.com/boxscores/201204290ATL.html,"19,292",Philips Arena,7:00p,15416
2012,1.0,1.0,Memphis Grizzlies,Los Angeles Clippers,98,99,https://www.basketball-reference.com/boxscores/201204290MEM.html,"18,119",FedEx Forum,9:30p,15417
2012,1.0,2.0,Miami Heat,New York Knicks,104,94,https://www.basketball-reference.com/boxscores/201204300MIA.html,"19,684",AmericanAirlines Arena,7:00p,15418
2012,1.0,2.0,Indiana Pacers,Orlando Magic,93,78,https://www.basketball-reference.com/boxscores/201204300IND.html,"18,165",Bankers Life Fieldhouse,7:30p,15419
2012,1.0,2.0,Oklahoma City Thunder,Dallas Mavericks,102,99,https://www.basketball-reference.com/boxscores/201204300OKC.html,"18,203",Chesapeake Energy Arena,9:30p,15420
2012,1.0,2.0,Atlanta Hawks,Boston Celtics,80,87,https://www.basketball-reference.com/boxscores/201205010ATL.html,"19,308",Philips Arena,7:30p,15421
2012,1.0,2.0,Chicago Bulls,Philadelphia 76ers,92,109,https://www.basketball-reference.com/boxscores/201205010CHI.html,"22,067",United Center,8:00p,15422
2012,1.0,2.0,Los Angeles Lakers,Denver Nuggets,104,100,https://www.basketball-reference.com/boxscores/201205010LAL.html,"18,997",STAPLES Center,10:30p,15423
2012,1.0,2.0,San Antonio Spurs,Utah Jazz,114,83,https://www.basketball-reference.com/boxscores/201205020SAS.html,"18,581",AT&T Center,7:00p,15424
2012,1.0,3.0,Orlando Magic,Indiana Pacers,74,97,https://www.basketball-reference.com/boxscores/201205020ORL.html,"18,846",Amway Center,7:30p,15425
2012,1.0,2.0,Memphis Grizzlies,Los Angeles Clippers,105,98,https://www.basketball-reference.com/boxscores/201205020MEM.html,"18,119",FedEx Forum,9:30p,15426
2012,1.0,3.0,New York Knicks,Miami Heat,70,87,https://www.basketball-reference.com/boxscores/201205030NYK.html,"19,763",Madison Square Garden (IV),7:00p,15427
2012,1.0,3.0,Dallas Mavericks,Oklahoma City Thunder,79,95,https://www.basketball-reference.com/boxscores/201205030DAL.html,"20,640",American Airlines Center,9:30p,15428
2012,1.0,3.0,Boston Celtics,Atlanta Hawks,90,84,https://www.basketball-reference.com/boxscores/201205040BOS.html,"18,624",TD Garden,7:30p,15429
2012,1.0,3.0,Philadelphia 76ers,Chicago Bulls,79,74,https://www.basketball-reference.com/boxscores/201205040PHI.html,"20,381",Wells Fargo Center,8:00p,15430
2012,1.0,3.0,Denver Nuggets,Los Angeles Lakers,99,84,https://www.basketball-reference.com/boxscores/201205040DEN.html,"19,155",Pepsi Center,10:30p,15431
2012,1.0,4.0,Orlando Magic,Indiana Pacers,99,101,https://www.basketball-reference.com/boxscores/201205050ORL.html,"18,846",Amway Center,2:00p,15432
2012,1.0,3.0,Los Angeles Clippers,Memphis Grizzlies,87,86,https://www.basketball-reference.com/boxscores/201205050LAC.html,"19,060",STAPLES Center,4:30p,15433
2012,1.0,4.0,Dallas Mavericks,Oklahoma City Thunder,97,103,https://www.basketball-reference.com/boxscores/201205050DAL.html,"20,533",American Airlines Center,7:30p,15434
2012,1.0,3.0,Utah Jazz,San Antonio Spurs,90,102,https://www.basketball-reference.com/boxscores/201205050UTA.html,"19,911",EnergySolutions Arena,10:00p,15435
2012,1.0,4.0,Philadelphia 76ers,Chicago Bulls,89,82,https://www.basketball-reference.com/boxscores/201205060PHI.html,"20,412",Wells Fargo Center,1:00p,15436
2012,1.0,4.0,New York Knicks,Miami Heat,89,87,https://www.basketball-reference.com/boxscores/201205060NYK.html,"19,763",Madison Square Garden (IV),3:30p,15437
2012,1.0,4.0,Boston Celtics,Atlanta Hawks,101,79,https://www.basketball-reference.com/boxscores/201205060BOS.html,"18,624",TD Garden,7:00p,15438
2012,1.0,4.0,Denver Nuggets,Los Angeles Lakers,88,92,https://www.basketball-reference.com/boxscores/201205060DEN.html,"19,155",Pepsi Center,9:30p,15439
2012,1.0,4.0,Utah Jazz,San Antonio Spurs,81,87,https://www.basketball-reference.com/boxscores/201205070UTA.html,"19,911",EnergySolutions Arena,8:00p,15440
2012,1.0,4.0,Los Angeles Clippers,Memphis Grizzlies,101,97,https://www.basketball-reference.com/boxscores/201205070LAC.html,"19,167",STAPLES Center,10:30p,15441
2012,1.0,5.0,Indiana Pacers,Orlando Magic,105,87,https://www.basketball-reference.com/boxscores/201205080IND.html,"18,165",Bankers Life Fieldhouse,7:00p,15442
2012,1.0,5.0,Atlanta Hawks,Boston Celtics,87,86,https://www.basketball-reference.com/boxscores/201205080ATL.html,"19,319",Philips Arena,8:00p,15443
2012,1.0,5.0,Chicago Bulls,Philadelphia 76ers,77,69,https://www.basketball-reference.com/boxscores/201205080CHI.html,"22,093",United Center,9:30p,15444
2012,1.0,5.0,Los Angeles Lakers,Denver Nuggets,99,102,https://www.basketball-reference.com/boxscores/201205080LAL.html,"18,997",STAPLES Center,10:30p,15445
2012,1.0,5.0,Miami Heat,New York Knicks,106,94,https://www.basketball-reference.com/boxscores/201205090MIA.html,"19,754",AmericanAirlines Arena,7:00p,15446
2012,1.0,5.0,Memphis Grizzlies,Los Angeles Clippers,92,80,https://www.basketball-reference.com/boxscores/201205090MEM.html,"18,119",FedEx Forum,9:30p,15447
2012,1.0,6.0,Philadelphia 76ers,Chicago Bulls,79,78,https://www.basketball-reference.com/boxscores/201205100PHI.html,"20,362",Wells Fargo Center,7:00p,15448
2012,1.0,6.0,Boston Celtics,Atlanta Hawks,83,80,https://www.basketball-reference.com/boxscores/201205100BOS.html,"18,624",TD Garden,8:00p,15449
2012,1.0,6.0,Denver Nuggets,Los Angeles Lakers,113,96,https://www.basketball-reference.com/boxscores/201205100DEN.html,"19,770",Pepsi Center,10:30p,15450
2012,1.0,6.0,Los Angeles Clippers,Memphis Grizzlies,88,90,https://www.basketball-reference.com/boxscores/201205110LAC.html,"19,060",STAPLES Center,9:00p,15451
2012,2.0,1.0,Boston Celtics,Philadelphia 76ers,92,91,https://www.basketball-reference.com/boxscores/201205120BOS.html,"18,624",TD Garden,8:00p,15452
2012,1.0,7.0,Los Angeles Lakers,Denver Nuggets,96,87,https://www.basketball-reference.com/boxscores/201205120LAL.html,"18,997",STAPLES Center,10:30p,15453
2012,1.0,7.0,Memphis Grizzlies,Los Angeles Clippers,72,82,https://www.basketball-reference.com/boxscores/201205130MEM.html,"18,119",FedEx Forum,1:00p,15454
2012,2.0,1.0,Miami Heat,Indiana Pacers,95,86,https://www.basketball-reference.com/boxscores/201205130MIA.html,"19,600",AmericanAirlines Arena,3:30p,15455
2012,2.0,2.0,Boston Celtics,Philadelphia 76ers,81,82,https://www.basketball-reference.com/boxscores/201205140BOS.html,"18,624",TD Garden,7:00p,15456
2012,2.0,1.0,Oklahoma City Thunder,Los Angeles Lakers,119,90,https://www.basketball-reference.com/boxscores/201205140OKC.html,"18,203",Chesapeake Energy Arena,9:30p,15457
2012,2.0,2.0,Miami Heat,Indiana Pacers,75,78,https://www.basketball-reference.com/boxscores/201205150MIA.html,"19,828",AmericanAirlines Arena,7:00p,15458
2012,2.0,1.0,San Antonio Spurs,Los Angeles Clippers,108,92,https://www.basketball-reference.com/boxscores/201205150SAS.html,"18,581",AT&T Center,9:30p,15459
2012,2.0,3.0,Philadelphia 76ers,Boston Celtics,91,107,https://www.basketball-reference.com/boxscores/201205160PHI.html,"20,351",Wells Fargo Center,7:00p,15460
2012,2.0,2.0,Oklahoma City Thunder,Los Angeles Lakers,77,75,https://www.basketball-reference.com/boxscores/201205160OKC.html,"18,203",Chesapeake Energy Arena,9:30p,15461
2012,2.0,3.0,Indiana Pacers,Miami Heat,94,75,https://www.basketball-reference.com/boxscores/201205170IND.html,"18,165",Bankers Life Fieldhouse,7:00p,15462
2012,2.0,2.0,San Antonio Spurs,Los Angeles Clippers,105,88,https://www.basketball-reference.com/boxscores/201205170SAS.html,"18,581",AT&T Center,9:30p,15463
2012,2.0,4.0,Philadelphia 76ers,Boston Celtics,92,83,https://www.basketball-reference.com/boxscores/201205180PHI.html,"20,411",Wells Fargo Center,8:00p,15464
2012,2.0,3.0,Los Angeles Lakers,Oklahoma City Thunder,99,96,https://www.basketball-reference.com/boxscores/201205180LAL.html,"18,997",STAPLES Center,10:30p,15465
2012,2.0,3.0,Los Angeles Clippers,San Antonio Spurs,86,96,https://www.basketball-reference.com/boxscores/201205190LAC.html,"19,060",STAPLES Center,3:30p,15466
2012,2.0,4.0,Los Angeles Lakers,Oklahoma City Thunder,100,103,https://www.basketball-reference.com/boxscores/201205190LAL.html,"18,997",STAPLES Center,10:30p,15467
2012,2.0,4.0,Indiana Pacers,Miami Heat,93,101,https://www.basketball-reference.com/boxscores/201205200IND.html,"18,165",Bankers Life Fieldhouse,3:30p,15468
2012,2.0,4.0,Los Angeles Clippers,San Antonio Spurs,99,102,https://www.basketball-reference.com/boxscores/201205200LAC.html,"19,060",STAPLES Center,10:30p,15469
2012,2.0,5.0,Boston Celtics,Philadelphia 76ers,101,85,https://www.basketball-reference.com/boxscores/201205210BOS.html,"18,624",TD Garden,7:00p,15470
2012,2.0,5.0,Oklahoma City Thunder,Los Angeles Lakers,106,90,https://www.basketball-reference.com/boxscores/201205210OKC.html,"18,203",Chesapeake Energy Arena,9:30p,15471
2012,2.0,5.0,Miami Heat,Indiana Pacers,115,83,https://www.basketball-reference.com/boxscores/201205220MIA.html,"20,097",AmericanAirlines Arena,8:00p,15472
2012,2.0,6.0,Philadelphia 76ers,Boston Celtics,82,75,https://www.basketball-reference.com/boxscores/201205230PHI.html,"20,403",Wells Fargo Center,8:00p,15473
2012,2.0,6.0,Indiana Pacers,Miami Heat,93,105,https://www.basketball-reference.com/boxscores/201205240IND.html,"18,165",Bankers Life Fieldhouse,8:00p,15474
2012,2.0,7.0,Boston Celtics,Philadelphia 76ers,85,75,https://www.basketball-reference.com/boxscores/201205260BOS.html,"18,624",TD Garden,8:00p,15475
2012,3.0,1.0,San Antonio Spurs,Oklahoma City Thunder,101,98,https://www.basketball-reference.com/boxscores/201205270SAS.html,"18,581",AT&T Center,8:30p,15476
2012,3.0,1.0,Miami Heat,Boston Celtics,93,79,https://www.basketball-reference.com/boxscores/201205280MIA.html,"19,912",AmericanAirlines Arena,8:30p,15477
2012,3.0,2.0,San Antonio Spurs,Oklahoma City Thunder,120,111,https://www.basketball-reference.com/boxscores/201205290SAS.html,"18,581",AT&T Center,9:00p,15478
2012,3.0,2.0,Miami Heat,Boston Celtics,115,111,https://www.basketball-reference.com/boxscores/201205300MIA.html,"19,973",AmericanAirlines Arena,8:30p,15479
2012,3.0,3.0,Oklahoma City Thunder,San Antonio Spurs,102,82,https://www.basketball-reference.com/boxscores/201205310OKC.html,"18,203",Chesapeake Energy Arena,9:00p,15480
2012,3.0,3.0,Boston Celtics,Miami Heat,101,91,https://www.basketball-reference.com/boxscores/201206010BOS.html,"18,624",TD Garden,8:30p,15481
2012,3.0,4.0,Oklahoma City Thunder,San Antonio Spurs,109,103,https://www.basketball-reference.com/boxscores/201206020OKC.html,"18,203",Chesapeake Energy Arena,8:30p,15482
2012,3.0,4.0,Boston Celtics,Miami Heat,93,91,https://www.basketball-reference.com/boxscores/201206030BOS.html,"18,624",TD Garden,8:30p,15483
2012,3.0,5.0,San Antonio Spurs,Oklahoma City Thunder,103,108,https://www.basketball-reference.com/boxscores/201206040SAS.html,"18,581",AT&T Center,9:00p,15484
2012,3.0,5.0,Miami Heat,Boston Celtics,90,94,https://www.basketball-reference.com/boxscores/201206050MIA.html,"20,021",AmericanAirlines Arena,8:30p,15485
2012,3.0,6.0,Oklahoma City Thunder,San Antonio Spurs,107,99,https://www.basketball-reference.com/boxscores/201206060OKC.html,"18,203",Chesapeake Energy Arena,9:00p,15486
2012,3.0,6.0,Boston Celtics,Miami Heat,79,98,https://www.basketball-reference.com/boxscores/201206070BOS.html,"18,624",TD Garden,8:30p,15487
2012,3.0,7.0,Miami Heat,Boston Celtics,101,88,https://www.basketball-reference.com/boxscores/201206090MIA.html,"20,114",AmericanAirlines Arena,8:30p,15488
2012,4.0,1.0,Oklahoma City Thunder,Miami Heat,105,94,https://www.basketball-reference.com/boxscores/201206120OKC.html,"18,203",Chesapeake Energy Arena,9:00p,15489
2012,4.0,2.0,Oklahoma City Thunder,Miami Heat,96,100,https://www.basketball-reference.com/boxscores/201206140OKC.html,"18,203",Chesapeake Energy Arena,9:00p,15490
2012,4.0,3.0,Miami Heat,Oklahoma City Thunder,91,85,https://www.basketball-reference.com/boxscores/201206170MIA.html,"20,003",AmericanAirlines Arena,8:00p,15491
2012,4.0,4.0,Miami Heat,Oklahoma City Thunder,104,98,https://www.basketball-reference.com/boxscores/201206190MIA.html,"20,003",AmericanAirlines Arena,9:00p,15492
2012,4.0,5.0,Miami Heat,Oklahoma City Thunder,121,106,https://www.basketball-reference.com/boxscores/201206210MIA.html,"20,003",AmericanAirlines Arena,9:00p,15493
2013,1.0,1.0,New York Knicks,Boston Celtics,85,78,https://www.basketball-reference.com/boxscores/201304200NYK.html,"19,033",Madison Square Garden (IV),3:00p,15494
2013,1.0,1.0,Denver Nuggets,Golden State Warriors,97,95,https://www.basketball-reference.com/boxscores/201304200DEN.html,"19,155",Pepsi Center,5:30p,15495
2013,1.0,1.0,Brooklyn Nets,Chicago Bulls,106,89,https://www.basketball-reference.com/boxscores/201304200BRK.html,"17,732",Barclays Center,8:00p,15496
2013,1.0,1.0,Los Angeles Clippers,Memphis Grizzlies,112,91,https://www.basketball-reference.com/boxscores/201304200LAC.html,"19,373",STAPLES Center,10:30p,15497
2013,1.0,1.0,Indiana Pacers,Atlanta Hawks,107,90,https://www.basketball-reference.com/boxscores/201304210IND.html,"18,165",Bankers Life Fieldhouse,1:00p,15498
2013,1.0,1.0,San Antonio Spurs,Los Angeles Lakers,91,79,https://www.basketball-reference.com/boxscores/201304210SAS.html,"18,581",AT&T Center,3:30p,15499
2013,1.0,1.0,Miami Heat,Milwaukee Bucks,110,87,https://www.basketball-reference.com/boxscores/201304210MIA.html,"20,006",AmericanAirlines Arena,7:00p,15500
2013,1.0,1.0,Oklahoma City Thunder,Houston Rockets,120,91,https://www.basketball-reference.com/boxscores/201304210OKC.html,"18,203",Chesapeake Energy Arena,9:30p,15501
2013,1.0,2.0,Brooklyn Nets,Chicago Bulls,82,90,https://www.basketball-reference.com/boxscores/201304220BRK.html,"17,732",Barclays Center,8:00p,15502
2013,1.0,2.0,Los Angeles Clippers,Memphis Grizzlies,93,91,https://www.basketball-reference.com/boxscores/201304220LAC.html,"19,276",STAPLES Center,10:30p,15503
2013,1.0,2.0,Miami Heat,Milwaukee Bucks,98,86,https://www.basketball-reference.com/boxscores/201304230MIA.html,"20,097",AmericanAirlines Arena,7:30p,15504
2013,1.0,2.0,New York Knicks,Boston Celtics,87,71,https://www.basketball-reference.com/boxscores/201304230NYK.html,"19,033",Madison Square Garden (IV),8:00p,15505
2013,1.0,2.0,Denver Nuggets,Golden State Warriors,117,131,https://www.basketball-reference.com/boxscores/201304230DEN.html,"19,155",Pepsi Center,10:30p,15506
2013,1.0,2.0,Oklahoma City Thunder,Houston Rockets,105,102,https://www.basketball-reference.com/boxscores/201304240OKC.html,"18,203",Chesapeake Energy Arena,7:00p,15507
2013,1.0,2.0,Indiana Pacers,Atlanta Hawks,113,98,https://www.basketball-reference.com/boxscores/201304240IND.html,"18,165",Bankers Life Fieldhouse,7:30p,15508
